country,requirement
Sri Lanka,eTA/30 days
South Korea,eTA/90 days
Albania,eVisa
Antigua and Barbuda,eVisa
Australia,eVisa
Bahamas,eVisa
Bahrain,eVisa
Benin,eVisa
Bhutan,eVisa
Burkina Faso,eVisa
Djibouti,eVisa
Kazakhstan,eVisa
Kyrgyzstan,eVisa
Moldova,eVisa
Oman,eVisa
Pakistan,eVisa
Saint Kitts and Nevis,eVisa
Sao Tome and Principe,eVisa
South Sudan,eVisa
Uganda,eVisa
Lesotho,eVisa/14 days
India,eVisa/30 days
Iran,eVisa/30 days
Congo (Dem. Rep.),eVisa/90 days
Ethiopia,eVisa/90 days
Gabon,eVisa/90 days
Guinea,eVisa/90 days
Kenya,eVisa/90 days
Qatar,free visa on arrival/90 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 days
Angola,pre-visa on arrival
Nigeria,pre-visa on arrival
Sierra Leone,pre-visa on arrival
Cuba,tourist card/30 days
Seychelles,tourist registration/90 days
Jordan,visa on arrival
Mauritania,visa on arrival
Cape Verde,visa on arrival (EASE)
Tanzania,visa on arrival / eVisa
Armenia,visa on arrival / eVisa/120 days
Cambodia,visa on arrival / eVisa/30 days
Laos,visa on arrival / eVisa/30 days
Malawi,visa on arrival / eVisa/30 days
Mozambique,visa on arrival / eVisa/30 days
Rwanda,visa on arrival / eVisa/30 days
Bolivia,visa on arrival / eVisa/90 days
Madagascar,visa on arrival / eVisa/90 days
Türkiye,visa on arrival / eVisa/90 days
Zambia,visa on arrival / eVisa/90 days
Togo,visa on arrival/15 days
Nepal,visa on arrival/150 days
Bangladesh,visa on arrival/30 days
Burundi,visa on arrival/30 days
Egypt,visa on arrival/30 days
Lebanon,visa on arrival/30 days
Maldives,visa on arrival/30 days
Nicaragua,visa on arrival/30 days
Palau,visa on arrival/30 days
Senegal,visa on arrival/30 days
Somalia,visa on arrival/30 days
Timor-Leste,visa on arrival/30 days
Tuvalu,visa on arrival/30 days
Comoros,visa on arrival/45 days
Mauritius,visa on arrival/60 days
Samoa,visa on arrival/90 days
Solomon Islands,visa on arrival/90 days
Zimbabwe,visa on arrival/90 days
Afghanistan,visa required
Algeria,visa required
Andorra,visa required
Argentina,visa required
Austria,visa required
Azerbaijan,visa required
Barbados,visa required
Belarus,visa required
Belgium,visa required
Bosnia and Herzegovina,visa required
Brunei,visa required
Bulgaria,visa required
Cameroon,visa required
Canada,visa required
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Congo,visa required
Costa Rica,visa required
Croatia,visa required
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Dominica,visa required
Equatorial Guinea,visa required
Eritrea,visa required
Estonia,visa required
Eswatini,visa required
Fiji,visa required
Finland,visa required
France,visa required
Germany,visa required
Ghana,visa required
Greece,visa required
Guatemala,visa required
Guinea-Bissau,visa required
Haiti,visa required
Hungary,visa required
Iceland,visa required
Indonesia,visa required
Iraq,visa required
Ireland,visa required
Italy,visa required
Jamaica,visa required
Kiribati,visa required
Kosovo,visa required
Kuwait,visa required
Latvia,visa required
Liberia,visa required
Libya,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Mali,visa required
Malta,visa required
Marshall Islands,visa required
Mexico,visa required
Monaco,visa required
Mongolia,visa required
Montenegro,visa required
Myanmar [Burma],visa required
Namibia,visa required
Nauru,visa required
Netherlands,visa required
New Zealand,visa required
Niger,visa required
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Panama,visa required
Papua New Guinea,visa required
Poland,visa required
Portugal,visa required
Romania,visa required
Saint Lucia,visa required
San Marino,visa required
Saudi Arabia,visa required
Serbia,visa required
Slovakia,visa required
Slovenia,visa required
South Africa,visa required
Spain,visa required
St. Vincent and the Grenadines,visa required
Sudan,visa required
Sweden,visa required
Switzerland,visa required
Syria,visa required
Thailand,visa required
Tonga,visa required
Turkmenistan,visa required
Ukraine,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Uruguay,visa required
Vanuatu,visa required
Vatican City,visa required
Venezuela,visa required
Viet Nam,visa required
Yemen,visa required
Palestinian Territories,visa-free
Belize,visa-free/30 days
Guyana,visa-free/30 days
Hong Kong,visa-free/30 days
Macao,visa-free/30 days
Malaysia,visa-free/30 days
Micronesia,visa-free/30 days
Philippines,visa-free/30 days
Singapore,visa-free/30 days
Taiwan,visa-free/30 days
Tajikistan,visa-free/30 days
Uzbekistan,visa-free/30 days
Georgia,visa-free/360 days
Brazil,visa-free/60 days
Honduras,visa-free/60 days
Morocco,visa-free/60 days
Paraguay,visa-free/60 days
Peru,visa-free/60 days
Russian Federation,visa-free/60 days
Tunisia,visa-free/7 days
Botswana,visa-free/90 days
Colombia,visa-free/90 days
Ecuador,visa-free/90 days
El Salvador,visa-free/90 days
Gambia,visa-free/90 days
Grenada,visa-free/90 days
Israel,visa-free/90 days
Japan,visa-free/90 days
Suriname,visa-free/90 days
Trinidad and Tobago,visa-free/90 days
