country,requirement
Afghanistan,visa required
Albania,eVisaApply now
Algeria,visa required
Andorra,visa required
Angola,visa required
Antigua and Barbuda,eVisaApply now
Argentina,visa required
Armenia,visa required
Australia,eVisaApply now
Austria,visa required
Azerbaijan,visa required
Bahamas,eVisaApply now
Bahrain,eVisaApply now
Bangladesh,visa required
Barbados,visa required
Belarus,visa required
Belgium,visa required
Belize,visa required
Benin,eVisaApply now
Bhutan,eVisaApply now
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa required
Botswana,eVisaApply now
Brazil,visa required
Brunei,visa required
Bulgaria,visa required
Burkina Faso,eVisaApply now
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,visa required
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Colombia,eVisaApply now
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa required
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa required
Cuba,visa required
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Djibouti,eVisaApply now
Dominica,visa-free/21 days
Dominican Republic,visa required
Ecuador,eVisaApply now
Egypt,visa required
El Salvador,visa required
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa required
Eswatini,visa required
Ethiopia,eVisa/90 daysApply now
Fiji,visa required
Finland,visa required
France,visa required
Gabon,eVisa/90 daysApply now
Gambia,visa required
Georgia,eVisaApply now
Germany,visa required
Ghana,visa required
Greece,visa required
Grenada,visa required
Guatemala,visa required
Guinea,eVisa/90 daysApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa required
Haiti,visa-free/90 days
Honduras,visa required
Hong Kong,visa required
Hungary,visa required
Iceland,visa required
India,visa required
Indonesia,visa required
Iran,not admitted
Iraq,visa required
Ireland,visa required
Israel,visa required
Italy,visa required
Jamaica,visa required
Japan,visa required
Jordan,visa required
Kazakhstan,visa required
Kenya,eVisaApply now
Kiribati,visa required
Kosovo,visa required
Kuwait,visa required
Kyrgyzstan,eVisaApply now
Laos,visa on arrival / eVisa/30 daysApply now
Latvia,visa required
Lebanon,visa on arrival/30 days
Lesotho,eVisa/14 days
Liberia,visa required
Libya,not admitted
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Macao,visa on arrival/30 days
Madagascar,visa on arrival/90 days
Malawi,eVisa/90 daysApply now
Malaysia,visa-free/90 days
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa required
Marshall Islands,visa required
Mauritania,visa on arrival
Mauritius,visa required
Mexico,visa required
Micronesia,visa-free/30 days
Moldova,eVisaApply now
Monaco,visa required
Mongolia,visa required
Montenegro,visa required
Morocco,visa required
Mozambique,visa on arrival / eVisa/30 daysApply now
Myanmar,visa required
Namibia,visa required
Nauru,visa required
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa required
New Zealand,visa required
Nicaragua,visa required
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Oman,eVisaApply now
Pakistan,eVisaApply now
Palau,visa on arrival/30 days
Palestinian Territories,visa-free
Panama,visa required
Papua New Guinea,visa required
Paraguay,visa required
Peru,visa required
Philippines,visa required
Poland,visa required
Portugal,visa required
Qatar,visa required
Romania,visa required
Russian Federation,visa required
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,eVisaApply now
Saint Lucia,visa required
Samoa,visa on arrival/90 days
San Marino,visa required
Sao Tome and Principe,eVisaApply now
Saudi Arabia,visa required
Senegal,visa required
Serbia,visa required
Seychelles,tourist registration/90 daysApply now
Sierra Leone,eVisaApply now
Singapore,eVisaApply now
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa required
Somalia,visa on arrival/30 days
South Africa,visa required
South Korea,visa required
South Sudan,eVisaApply now
Spain,visa required
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa-free/30 days
Suriname,tourist card/90 daysApply now
Sweden,visa required
Switzerland,visa required
Syria,visa-free
Taiwan,visa required
Tajikistan,visa on arrival / eVisa/45 daysApply now
Tanzania,eVisa
Thailand,visa required
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa required
Trinidad and Tobago,visa required
Tunisia,visa required
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa required
Uganda,eVisaApply now
Ukraine,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Uruguay,visa required
Uzbekistan,eVisaApply now
Vanuatu,visa required
Vatican City,visa required
Venezuela,visa required
Viet Nam,eVisa/90 daysApply now
Zambia,eVisaApply now
Zimbabwe,eVisaApply now
