country,requirement
Afghanistan,visa required
Albania,visa-free/90 days
Algeria,visa required
Andorra,visa-free/90 days
Angola,visa-free/30 days
Antigua and Barbuda,visa-free/180 days
Argentina,visa-free/90 days
Armenia,visa-free/180 days
Australia,eTA/90 daysApply now
Austria,visa-free/90 days
Azerbaijan,visa on arrival / eVisa/30 daysApply now
Bahamas,visa-free/90 days
Bahrain,visa on arrival / eVisa/30 daysApply now
Bangladesh,visa on arrival/30 days
Barbados,visa-free/90 days
Belarus,visa-free/30 days
Belgium,visa-free/90 days
Belize,visa-free/90 days
Benin,eVisaApply now
Bhutan,eVisaApply now
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa-free/90 days
Botswana,visa-free/90 days
Brazil,visa-free/90 days
Brunei,visa-free/30 days
Bulgaria,visa-free/90 days
Burkina Faso,eVisaApply now
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,eTA/180 daysApply now
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa required
Chad,visa required
Chile,visa-free/90 days
China,visa required
Colombia,visa-free/90 days
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa-free/180 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa-free/90 days
Cuba,tourist card/30 days
Cyprus,visa-free/90 days
Czech Republic,visa-free/90 days
Denmark,visa-free/90 days
Djibouti,eVisaApply now
Dominica,visa-free/180 days
Dominican Republic,visa-free
Ecuador,visa-free/90 days
Egypt,visa on arrival / eVisa/30 daysApply now
El Salvador,visa-free/90 days
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa-free/90 days
Eswatini,visa-free/30 days
Ethiopia,visa on arrival / eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa-free/90 days
France,visa-free/90 days
Gabon,visa-free/30 days
Gambia,visa-free/90 days
Georgia,visa-free/360 days
Germany,visa-free/90 days
Ghana,visa required
Greece,visa-free/90 days
Grenada,visa-free/90 days
Guatemala,visa-free/90 days
Guinea,eVisa/90 daysApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa-free/30 days
Haiti,visa-free/90 days
Honduras,visa-free/90 days
Hong Kong,visa-free/90 days
Hungary,visa-free/90 days
Iceland,visa-free/90 days
India,visa on arrival / eVisa/30 daysApply now
Indonesia,visa on arrival / eVisa/30 daysApply now
Iran,eVisa/30 daysApply now
Iraq,visa on arrival/60 days
Ireland,visa-free/90 days
Israel,visa-free/90 days
Italy,visa-free/90 days
Jamaica,visa-free/90 days
Japan,visa-free/90 days
Jordan,visa on arrival / eVisaApply now
Kazakhstan,visa-free/30 days
Kenya,eVisa/90 daysApply now
Kiribati,visa-free/90 days
Kosovo,visa-free/90 days
Kuwait,visa on arrival / eVisa/90 daysApply now
Kyrgyzstan,visa-free/60 days
Laos,visa-free/30 days
Latvia,visa-free/90 days
Lebanon,visa on arrival/30 days
Lesotho,visa-free/14 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa-free/90 days
Lithuania,visa-free/90 days
Luxembourg,visa-free/90 days
Macao,visa-free/90 days
Madagascar,visa on arrival/90 days
Malawi,visa on arrival / eVisa/30 daysApply now
Malaysia,visa-free/90 days
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa-free/90 days
Marshall Islands,visa on arrival/90 days
Mauritania,visa on arrival
Mauritius,visa-free/90 days
Mexico,visa-free/180 days
Micronesia,visa-free/30 days
Moldova,visa-free/90 days
Monaco,visa-free/90 days
Mongolia,visa-free/90 days
Montenegro,visa-free/90 days
Morocco,visa-free/90 days
Mozambique,visa-free/30 days
Myanmar,eVisaApply now
Namibia,visa on arrival/90 days
Nauru,visa required
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa-free/90 days
New Zealand,eTA/90 daysApply now
Nicaragua,visa-free/90 days
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa-free/90 days
Norway,visa-free/90 days
Oman,visa on arrival / eVisa/30 daysApply now
Pakistan,eTA/30 daysApply now
Palau,visa on arrival/30 days
Palestinian Territories,visa-free
Panama,visa-free/90 days
Papua New Guinea,eVisa/60 daysApply now
Paraguay,visa-free/30 days
Peru,visa-free/180 days
Philippines,visa-free/30 days
Poland,visa-free/90 days
Portugal,visa-free/90 days
Qatar,free visa on arrival/90 days
Romania,visa-free/90 days
Russian Federation,visa-free/60 days
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,visa-free/90 days
Saint Lucia,visa-free/42 days
Samoa,visa on arrival/90 days
San Marino,visa-free/90 days
Sao Tome and Principe,visa-free/15 days
Saudi Arabia,visa on arrival / eVisa/90 daysApply now
Senegal,visa-free/90 days
Serbia,visa-free/90 days
Seychelles,tourist registration/90 daysApply now
Sierra Leone,visa on arrival / eVisa/30 daysApply now
Singapore,visa-free/90 days
Slovakia,visa-free/90 days
Slovenia,visa-free/90 days
Solomon Islands,visa on arrival/90 days
Somalia,visa on arrival/30 days
South Africa,visa-free/30 days
South Sudan,eVisaApply now
Spain,visa-free/90 days
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,tourist card/30 daysApply now
Sweden,visa-free/90 days
Switzerland,visa-free/90 days
Syria,visa required
Taiwan,visa-free/90 days
Tajikistan,visa-free/30 days
Tanzania,visa on arrival / eVisaApply now
Thailand,visa-free/90 days
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa on arrival/31 days
Trinidad and Tobago,visa-free/90 days
Tunisia,visa-free/90 days
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa-free/90 days
Uganda,eVisaApply now
Ukraine,visa-free/90 days
United Arab Emirates,visa-free/90 days
United Kingdom,visa-free/180 days
United States of America,eTA/90 daysApply now
Uruguay,visa-free/90 days
Uzbekistan,visa-free/30 days
Vanuatu,visa-free/30 days
Vatican City,visa-free/90 days
Venezuela,visa-free/90 days
Viet Nam,visa-free/45 days
Yemen,visa required
Zambia,visa-free/90 days
Zimbabwe,visa on arrival/90 days
