country,requirement
Afghanistan,visa required
Albania,visa-free/90 days
Algeria,not admitted
Andorra,visa-free/90 days
Angola,visa-free/30 days
Antigua and Barbuda,eVisaApply now
Argentina,visa-free/90 days
Armenia,visa on arrival / eVisa/120 daysApply now
Australia,eVisaApply now
Austria,visa-free/90 days
Azerbaijan,visa on arrival / eVisa/30 daysApply now
Bahamas,visa-free/90 days
Bahrain,eVisaApply now
Bangladesh,not admitted
Barbados,visa-free/180 days
Belarus,visa-free/90 days
Belgium,visa-free/90 days
Belize,visa-free/90 days
Benin,eVisaApply now
Bhutan,eVisaApply now
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa-free/90 days
Botswana,visa-free/90 days
Brazil,visa-free/90 days
Brunei,not admitted
Bulgaria,visa-free/90 days
Burkina Faso,eVisaApply now
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,eTA/180 daysApply now
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa-free/90 days
Chad,visa required
Chile,visa-free/90 days
China,visa required
Colombia,visa-free/90 days
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa-free/180 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa-free/90 days
Cuba,tourist card/30 days
Cyprus,visa-free/90 days
Czech Republic,visa-free/90 days
Denmark,visa-free/90 days
Djibouti,eVisaApply now
Dominica,visa-free/180 days
Dominican Republic,visa-free
Ecuador,visa-free/90 days
Egypt,visa required
El Salvador,visa-free/90 days
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa-free/90 days
Eswatini,visa-free/30 days
Ethiopia,visa on arrival / eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa-free/90 days
France,visa-free/90 days
Gabon,eVisa/90 daysApply now
Gambia,visa required
Georgia,visa-free/360 days
Germany,visa-free/90 days
Ghana,visa required
Greece,visa-free/90 days
Grenada,visa-free/90 days
Guatemala,visa-free/90 days
Guinea,eVisa/90 daysApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa required
Haiti,visa-free/90 days
Honduras,visa-free/90 days
Hong Kong,visa-free/90 days
Hungary,visa-free/90 days
Iceland,visa-free/90 days
India,eVisa/30 daysApply now
Indonesia,visa required
Iran,not admitted
Iraq,visa required
Ireland,visa-free/90 days
Italy,visa-free/90 days
Jamaica,visa-free/90 days
Japan,visa-free/90 days
Jordan,visa on arrival / eVisaApply now
Kazakhstan,visa-free/30 days
Kenya,eVisa/90 daysApply now
Kiribati,visa-free/90 days
Kosovo,visa-free/90 days
Kuwait,visa required
Kyrgyzstan,visa-free/60 days
Laos,visa on arrival / eVisa/30 daysApply now
Latvia,visa-free/90 days
Lebanon,not admitted
Lesotho,visa-free/90 days
Liberia,visa required
Libya,not admitted
Liechtenstein,visa-free/90 days
Lithuania,visa-free/90 days
Luxembourg,visa-free/90 days
Macao,visa-free/90 days
Madagascar,visa on arrival/90 days
Malawi,visa-free/90 days
Malaysia,not admitted
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa-free/90 days
Marshall Islands,visa on arrival/90 days
Mauritania,visa on arrival
Mauritius,visa-free/90 days
Mexico,visa-free/180 days
Micronesia,visa-free/30 days
Moldova,visa-free/90 days
Monaco,visa-free/90 days
Mongolia,visa-free/30 days
Montenegro,visa-free/90 days
Morocco,eVisa/30 daysApply now
Mozambique,visa-free/30 days
Myanmar,eVisaApply now
Namibia,visa required
Nauru,visa on arrival
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa-free/90 days
New Zealand,eTA/90 daysApply now
Nicaragua,visa-free/90 days
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa-free/90 days
Norway,visa-free/90 days
Oman,eVisaApply now
Pakistan,not admitted
Palau,visa-free/90 days
Palestinian Territories,visa-free
Panama,visa-free/90 days
Papua New Guinea,eVisa/60 daysApply now
Paraguay,visa-free/90 days
Peru,visa-free/180 days
Philippines,visa-free/60 days
Poland,visa-free/90 days
Portugal,visa-free/90 days
Qatar,visa required
Romania,visa-free/90 days
Russian Federation,visa-free/90 days
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,visa-free/90 days
Saint Lucia,visa-free/42 days
Samoa,visa on arrival/90 days
San Marino,visa-free/90 days
Sao Tome and Principe,eVisaApply now
Saudi Arabia,not admitted
Senegal,visa on arrival/30 days
Serbia,visa-free/90 days
Seychelles,tourist registration/90 daysApply now
Sierra Leone,visa on arrival / eVisa/30 daysApply now
Singapore,visa-free/30 days
Slovakia,visa-free/90 days
Slovenia,visa-free/90 days
Solomon Islands,visa on arrival/90 days
Somalia,visa on arrival/30 days
South Africa,visa-free/90 days
South Korea,eTA/90 daysApply now
South Sudan,eVisaApply now
Spain,visa-free/90 days
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,visa-free/180 days
Sweden,visa-free/90 days
Switzerland,visa-free/90 days
Syria,not admitted
Taiwan,visa-free/90 days
Tajikistan,visa on arrival / eVisa/45 daysApply now
Tanzania,visa on arrival / eVisaApply now
Thailand,visa-free/30 days
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa on arrival/31 days
Trinidad and Tobago,visa-free/90 days
Tunisia,visa required
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa-free/90 days
Uganda,eVisaApply now
Ukraine,visa-free/90 days
United Arab Emirates,visa-free/90 days
United Kingdom,visa-free/180 days
United States of America,eTA/90 daysApply now
Uruguay,visa-free/90 days
Uzbekistan,visa-free/30 days
Vanuatu,visa-free/30 days
Vatican City,visa-free/90 days
Venezuela,visa required
Viet Nam,eVisa/90 daysApply now
Yemen,not admitted
Zambia,visa on arrival / eVisa/90 daysApply now
Zimbabwe,visa on arrival/90 days
