country,requirement
United Kingdom,EVW/180 days
Pakistan,eTA/30 days
South Korea,eTA/30 days
Sri Lanka,eTA/30 days
New Zealand,eTA/90 days
Antigua and Barbuda,eVisa
Australia,eVisa
Benin,eVisa
Bhutan,eVisa
Burkina Faso,eVisa
Colombia,eVisa
Djibouti,eVisa
Moldova,eVisa
Saint Kitts and Nevis,eVisa
Sao Tome and Principe,eVisa
South Sudan,eVisa
Uganda,eVisa
Zimbabwe,eVisa
Lesotho,eVisa/14 days
India,eVisa/30 days
Taiwan,eVisa/30 days
Congo (Dem. Rep.),eVisa/90 days
Ethiopia,eVisa/90 days
Gabon,eVisa/90 days
Guinea,eVisa/90 days
Kenya,eVisa/90 days
Malawi,eVisa/90 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 days
Angola,pre-visa on arrival
Guyana,pre-visa on arrival
Nigeria,pre-visa on arrival
Cuba,tourist card/30 days
Seychelles,tourist registration/90 days
Mauritania,visa on arrival
Cape Verde,visa on arrival (EASE)
Tanzania,visa on arrival / eVisa
Armenia,visa on arrival / eVisa/120 days
Azerbaijan,visa on arrival / eVisa/30 days
Cambodia,visa on arrival / eVisa/30 days
Indonesia,visa on arrival / eVisa/30 days
Kyrgyzstan,visa on arrival / eVisa/30 days
Laos,visa on arrival / eVisa/30 days
Mozambique,visa on arrival / eVisa/30 days
Rwanda,visa on arrival / eVisa/30 days
Tajikistan,visa on arrival / eVisa/45 days
Bolivia,visa on arrival / eVisa/90 days
Madagascar,visa on arrival / eVisa/90 days
Türkiye,visa on arrival / eVisa/90 days
Togo,visa on arrival/15 days
Nepal,visa on arrival/150 days
Bangladesh,visa on arrival/30 days
Burundi,visa on arrival/30 days
Iraq,visa on arrival/30 days
Macao,visa on arrival/30 days
Maldives,visa on arrival/30 days
Nicaragua,visa on arrival/30 days
Palau,visa on arrival/30 days
Paraguay,visa on arrival/30 days
Senegal,visa on arrival/30 days
Sierra Leone,visa on arrival/30 days
Somalia,visa on arrival/30 days
Timor-Leste,visa on arrival/30 days
Tuvalu,visa on arrival/30 days
Comoros,visa on arrival/45 days
Samoa,visa on arrival/90 days
Yemen,visa on arrival/90 days
Afghanistan,visa required
Algeria,visa required
Andorra,visa required
Argentina,visa required
Austria,visa required
Belgium,visa required
Belize,visa required
Brazil,visa required
Bulgaria,visa required
Cameroon,visa required
Canada,visa required
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Congo,visa required
Costa Rica,visa required
Croatia,visa required
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Dominican Republic,visa required
El Salvador,visa required
Equatorial Guinea,visa required
Eritrea,visa required
Estonia,visa required
Eswatini,visa required
Fiji,visa required
Finland,visa required
France,visa required
Gambia,visa required
Germany,visa required
Ghana,visa required
Greece,visa required
Grenada,visa required
Guatemala,visa required
Guinea-Bissau,visa required
Honduras,visa required
Hungary,visa required
Iceland,visa required
Ireland,visa required
Israel,visa required
Italy,visa required
Jamaica,visa required
Japan,visa required
Kiribati,visa required
Latvia,visa required
Liberia,visa required
Libya,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Mali,visa required
Malta,visa required
Marshall Islands,visa required
Mexico,visa required
Monaco,visa required
Mongolia,visa required
Montenegro,visa required
Myanmar [Burma],visa required
Namibia,visa required
Nauru,visa required
Netherlands,visa required
Niger,visa required
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Panama,visa required
Papua New Guinea,visa required
Peru,visa required
Poland,visa required
Portugal,visa required
Romania,visa required
Russian Federation,visa required
Saint Lucia,visa required
San Marino,visa required
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa required
South Africa,visa required
Spain,visa required
Sudan,visa required
Sweden,visa required
Switzerland,visa required
Tonga,visa required
Trinidad and Tobago,visa required
Turkmenistan,visa required
United States of America,visa required
Uruguay,visa required
Vatican City,visa required
Venezuela,visa required
Viet Nam,visa required
Bahrain,visa-free
Kuwait,visa-free
Palestinian Territories,visa-free
Qatar,visa-free
Saudi Arabia,visa-free
Syria,visa-free
United Arab Emirates,visa-free
Uzbekistan,visa-free/10 days
Egypt,visa-free/180 days
Lebanon,visa-free/180 days
Dominica,visa-free/21 days
Belarus,visa-free/30 days
Brunei,visa-free/30 days
Hong Kong,visa-free/30 days
Kazakhstan,visa-free/30 days
Philippines,visa-free/30 days
Singapore,visa-free/30 days
Thailand,visa-free/30 days
Vanuatu,visa-free/30 days
Georgia,visa-free/360 days
Albania,visa-free/90 days
Bahamas,visa-free/90 days
Barbados,visa-free/90 days
Bosnia and Herzegovina,visa-free/90 days
Botswana,visa-free/90 days
Ecuador,visa-free/90 days
Haiti,visa-free/90 days
Iran,visa-free/90 days
Jordan,visa-free/90 days
Kosovo,visa-free/90 days
Malaysia,visa-free/90 days
Mauritius,visa-free/90 days
Micronesia,visa-free/90 days
Morocco,visa-free/90 days
Serbia,visa-free/90 days
St. Vincent and the Grenadines,visa-free/90 days
Suriname,visa-free/90 days
Tunisia,visa-free/90 days
Ukraine,visa-free/90 days
Zambia,visa-free/90 days
