country,requirement
Afghanistan,visa required
Albania,eVisaApply now
Algeria,visa required
Andorra,visa required
Angola,visa-free/30 days
Antigua and Barbuda,visa-free/180 days
Argentina,visa required
Armenia,eVisa/120 daysApply now
Australia,eVisaApply now
Austria,visa required
Azerbaijan,visa required
Bahamas,visa-free/90 days
Bahrain,eVisaApply now
Bangladesh,visa required
Barbados,visa-free/180 days
Belarus,visa required
Belgium,visa required
Benin,eVisaApply now
Bhutan,eVisaApply now
Bolivia,visa on arrival / eVisa/90 daysApply now
Bosnia and Herzegovina,visa required
Botswana,visa-free/90 days
Brazil,visa-free/90 days
Brunei,visa required
Bulgaria,visa required
Burkina Faso,eVisaApply now
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,visa required
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa required
Chad,visa required
Chile,visa-free/90 days
China,visa required
Colombia,visa-free/90 days
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa-free/30 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa required
Cuba,tourist card/30 days
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Djibouti,eVisaApply now
Dominica,visa-free/180 days
Dominican Republic,visa-free
Ecuador,visa-free/90 days
Egypt,visa required
El Salvador,visa-free/90 days
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa required
Eswatini,visa-free/30 days
Ethiopia,eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa required
France,visa required
Gabon,eVisa/90 daysApply now
Gambia,visa-free/90 days
Georgia,visa-free/360 days
Germany,visa required
Ghana,visa required
Greece,visa required
Grenada,visa-free/90 days
Guatemala,visa-free/90 days
Guinea,eVisa/90 daysApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa-free/180 days
Haiti,visa-free/90 days
Honduras,visa-free/90 days
Hong Kong,visa-free/90 days
Hungary,visa required
Iceland,visa required
India,eVisa/30 daysApply now
Indonesia,visa required
Iran,eVisa/30 daysApply now
Iraq,visa required
Ireland,visa-free/90 days
Israel,visa-free/90 days
Italy,visa required
Jamaica,visa-free
Japan,visa required
Jordan,eVisa
Kazakhstan,eVisaApply now
Kenya,visa-free/90 days
Kiribati,visa-free/90 days
Kosovo,visa-free/90 days
Kuwait,visa required
Kyrgyzstan,eVisaApply now
Laos,visa on arrival / eVisa/30 daysApply now
Latvia,visa required
Lebanon,visa on arrival/30 days
Lesotho,visa-free/90 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Macao,visa on arrival/30 days
Madagascar,visa on arrival/90 days
Malawi,visa-free/90 days
Malaysia,visa-free/30 days
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa required
Marshall Islands,visa on arrival/90 days
Mauritania,visa on arrival
Mauritius,visa-free/90 days
Mexico,visa-free/180 days
Micronesia,visa-free/30 days
Moldova,eVisaApply now
Monaco,visa required
Mongolia,eVisaApply now
Montenegro,visa required
Morocco,visa required
Mozambique,visa on arrival / eVisa/30 daysApply now
Myanmar,visa required
Namibia,visa required
Nauru,visa required
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa required
New Zealand,visa required
Nicaragua,visa-free/90 days
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Oman,eVisaApply now
Pakistan,eVisaApply now
Palau,visa on arrival/30 days
Palestinian Territories,visa-free
Panama,visa-free/90 days
Papua New Guinea,eVisa/30 daysApply now
Paraguay,visa required
Peru,visa-free/180 days
Philippines,visa-free/30 days
Poland,visa required
Portugal,visa required
Qatar,visa required
Romania,visa required
Russian Federation,visa-free/90 days
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,visa-free/180 days
Saint Lucia,visa-free/42 days
Samoa,visa on arrival/90 days
San Marino,visa required
Sao Tome and Principe,eVisaApply now
Saudi Arabia,visa required
Senegal,visa required
Serbia,visa required
Seychelles,tourist registration/90 daysApply now
Sierra Leone,visa on arrival / eVisa/30 daysApply now
Singapore,visa-free/30 days
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa on arrival/90 days
Somalia,visa on arrival/30 days
South Africa,visa-free/30 days
South Korea,visa required
South Sudan,eVisaApply now
Spain,visa required
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/180 days
Sudan,visa required
Suriname,visa-free/180 days
Sweden,visa required
Switzerland,visa required
Syria,visa required
Taiwan,visa-free/30 days
Tajikistan,eVisaApply now
Tanzania,visa-free/90 days
Thailand,visa required
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa required
Trinidad and Tobago,visa-free
Tunisia,visa required
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa-free/90 days
Uganda,visa-free/90 days
Ukraine,visa required
United Arab Emirates,visa required
United Kingdom,visa-free/180 days
United States of America,visa required
Uruguay,visa-free/90 days
Uzbekistan,visa-free/30 days
Vanuatu,visa-free/30 days
Vatican City,visa required
Venezuela,visa-free/90 days
Viet Nam,eVisa/90 daysApply now
Yemen,visa required
Zambia,visa-free/90 days
Zimbabwe,visa-free/90 days
