country,requirement
Afghanistan,visa required
Albania,visa-free/90 days
Algeria,visa required
Andorra,visa-free/90 days
Angola,eVisaApply now
Antigua and Barbuda,visa-free/180 days
Argentina,visa-free/90 days
Armenia,eVisa/120 daysApply now
Australia,eVisaApply now
Austria,visa-free/90 days
Azerbaijan,visa required
Bahamas,visa-free/90 days
Bahrain,visa on arrival / eVisa/30 daysApply now
Bangladesh,visa on arrival/30 days
Barbados,visa-free/28 days
Belarus,visa-free/90 days
Belgium,visa-free/90 days
Belize,visa required
Benin,eVisaApply now
Bhutan,eVisaApply now
Bolivia,visa-free/90 days
Bosnia and Herzegovina,visa-free/90 days
Botswana,visa-free/90 days
Brazil,visa-free/60 days
Brunei,visa required
Bulgaria,visa-free/90 days
Burkina Faso,visa on arrival/90 days
Burundi,visa on arrival/30 days
Cambodia,visa on arrival / eVisa/30 daysApply now
Cameroon,eVisaApply now
Canada,visa required
Cape Verde,visa on arrival (EASE)Apply now
Central African Republic,visa required
Chad,visa required
Chile,visa required
China,visa required
Colombia,visa-free/90 days
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 daysApply now
Costa Rica,visa required
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Croatia,visa-free/90 days
Cuba,tourist card/30 days
Cyprus,visa-free/90 days
Czech Republic,visa-free/90 days
Denmark,visa-free/90 days
Djibouti,eVisaApply now
Dominica,visa-free/180 days
Dominican Republic,visa required
Ecuador,eVisaApply now
Egypt,visa on arrival / eVisa/30 daysApply now
El Salvador,visa required
Equatorial Guinea,eVisaApply now
Eritrea,visa required
Estonia,visa-free/90 days
Eswatini,visa required
Ethiopia,eVisa/90 daysApply now
Fiji,visa-free/120 days
Finland,visa-free/90 days
France,visa-free/90 days
Gabon,eVisa/90 daysApply now
Gambia,visa-free/90 days
Georgia,eVisaApply now
Germany,visa-free/90 days
Ghana,visa required
Greece,visa-free/90 days
Grenada,visa-free/90 days
Guatemala,visa required
Guinea,eVisa/90 daysApply now
Guinea-Bissau,visa on arrival/90 days
Guyana,visa required
Haiti,visa-free/90 days
Honduras,visa required
Hong Kong,visa-free/90 days
Hungary,visa-free/90 days
Iceland,visa-free/90 days
India,eVisa/30 daysApply now
Indonesia,visa required
Iran,visa-free/15 days
Iraq,visa required
Ireland,visa required
Israel,visa required
Italy,visa-free/90 days
Jamaica,visa-free/30 days
Japan,visa required
Jordan,visa on arrival / eVisaApply now
Kazakhstan,eVisaApply now
Kenya,eVisa/90 daysApply now
Kiribati,visa-free/90 days
Kosovo,visa-free/90 days
Kuwait,visa required
Kyrgyzstan,visa on arrival / eVisa/30 days
Laos,visa on arrival / eVisa/30 daysApply now
Latvia,visa-free/90 days
Lebanon,visa on arrival/30 days
Lesotho,eVisa/14 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa-free/90 days
Lithuania,visa-free/90 days
Luxembourg,visa-free/90 days
Macao,visa on arrival/30 days
Madagascar,visa on arrival/90 days
Malawi,visa on arrival / eVisa/30 daysApply now
Malaysia,visa-free/30 days
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa-free/90 days
Marshall Islands,visa required
Mauritania,visa on arrival
Mauritius,visa on arrival/60 days
Mexico,visa required
Micronesia,visa-free/30 days
Moldova,visa-free/90 days
Monaco,visa-free/90 days
Mongolia,visa required
Montenegro,visa-free/90 days
Morocco,visa required
Mozambique,visa on arrival / eVisa/30 daysApply now
Myanmar,eVisaApply now
Namibia,visa on arrival/90 days
Nauru,visa required
Nepal,visa on arrival / eVisa/150 daysApply now
Netherlands,visa-free/90 days
New Zealand,visa required
Nicaragua,visa required
Niger,visa required
Nigeria,eVisaApply now
North Korea,visa required
North Macedonia,visa-free/90 days
Norway,visa-free/90 days
Oman,visa on arrival / eVisa/30 daysApply now
Pakistan,eVisaApply now
Palau,visa on arrival/30 days
Palestinian Territories,visa-free
Panama,visa required
Papua New Guinea,visa required
Paraguay,visa-free/90 days
Peru,visa required
Philippines,visa-free/30 days
Poland,visa-free/90 days
Portugal,visa-free/90 days
Qatar,free visa on arrival/30 days
Romania,visa-free/90 days
Russian Federation,visa-free/90 days
Rwanda,visa on arrival / eVisa/30 daysApply now
Saint Kitts and Nevis,visa-free/90 days
Saint Lucia,visa required
Samoa,visa on arrival/90 days
San Marino,visa-free/90 days
Sao Tome and Principe,eVisaApply now
Saudi Arabia,visa required
Senegal,visa required
Serbia,visa required
Seychelles,tourist registration/90 daysApply now
Sierra Leone,eVisaApply now
Singapore,visa-free/30 days
Slovakia,visa-free/90 days
Slovenia,visa-free/90 days
Solomon Islands,visa required
Somalia,visa on arrival/30 days
South Africa,visa-free/90 days
South Korea,eTA/90 daysApply now
South Sudan,eVisaApply now
Spain,visa-free/90 days
Sri Lanka,eTA/30 daysApply now
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,eVisa/90 days
Sweden,visa-free/90 days
Switzerland,visa-free/90 days
Syria,visa required
Taiwan,visa required
Tajikistan,visa on arrival / eVisa/45 daysApply now
Tanzania,visa on arrival / eVisaApply now
Thailand,visa required
Timor-Leste,visa on arrival/30 days
Togo,visa on arrival / eVisa/15 daysApply now
Tonga,visa required
Trinidad and Tobago,visa required
Tunisia,visa required
Turkmenistan,visa required
Tuvalu,visa on arrival/30 days
Türkiye,visa-free/90 days
Uganda,eVisaApply now
Ukraine,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Uruguay,visa-free/90 days
Uzbekistan,eVisa/30 days
Vanuatu,visa required
Vatican City,visa-free/90 days
Viet Nam,eVisa/90 daysApply now
Yemen,visa required
Zambia,visa on arrival / eVisa/90 daysApply now
Zimbabwe,visa on arrival/90 days
