date,timestamp,open,high,low,close,volume
2013-03-21,1363824000,4.361,6.244,4.361,5.946,134000
2013-03-22,1363910400,5.352,5.352,5.352,5.352,11700
2013-03-25,1364169600,4.856,4.956,4.856,4.856,7600
2013-03-26,1364256000,4.411,4.511,4.411,4.411,130200
2013-03-27,1364342400,4.062,4.411,4.062,4.411,45000
2013-03-28,1364428800,4.361,4.659,4.361,4.461,7200
2013-03-29,1364515200,4.461,4.461,4.212,4.411,9100
2013-04-01,1364774400,4.361,4.361,4.114,4.164,10500
2013-04-02,1364860800,4.164,4.311,3.965,4.311,19500
2013-04-03,1364947200,4.262,4.262,3.915,3.915,43600
2013-04-04,1365033600,3.915,3.915,3.716,3.915,8200
2013-04-05,1365120000,3.915,3.915,3.618,3.618,13500
2013-04-08,1365379200,3.716,3.716,3.37,3.37,53200
2013-04-09,1365465600,3.221,3.221,3.172,3.221,33300
2013-04-10,1365552000,3.32,3.32,3.023,3.124,7600
2013-04-11,1365638400,2.823,3.32,2.823,3.32,3900
2013-04-12,1365724800,3.42,3.42,3.124,3.42,6900
2013-04-15,1365984000,3.42,3.42,3.072,3.124,18500
2013-04-16,1366070400,2.924,3.172,2.823,3.172,15200
2013-04-17,1366156800,3.32,3.469,3.072,3.221,9400
2013-04-18,1366243200,3.37,3.37,3.124,3.221,56700
2013-04-22,1366588800,3.42,3.518,3.172,3.518,21200
2013-04-23,1366675200,3.469,3.469,3.37,3.469,6800
2013-04-24,1366761600,3.567,3.567,3.271,3.518,18500
2013-04-25,1366848000,3.221,3.469,3.221,3.469,3100
2013-04-26,1366934400,3.469,3.469,3.221,3.221,6400
2013-05-02,1367452800,3.172,3.271,3.172,3.271,2700
2013-05-03,1367539200,3.221,3.221,3.172,3.172,12400
2013-05-06,1367798400,3.469,3.469,3.221,3.271,11000
2013-05-07,1367884800,3.271,3.271,3.221,3.271,8800
2013-05-08,1367971200,3.271,3.271,3.172,3.172,26500
2013-05-09,1368057600,3.172,3.271,3.172,3.271,8000
2013-05-10,1368144000,3.221,3.271,3.124,3.221,7800
2013-05-13,1368403200,3.172,3.172,3.072,3.072,19200
2013-05-14,1368489600,3.072,3.172,3.023,3.172,10900
2013-05-15,1368576000,3.072,3.172,3.072,3.172,27900
2013-05-16,1368662400,3.072,3.124,2.974,3.124,40800
2013-05-17,1368748800,3.072,3.172,3.023,3.172,13400
2013-05-20,1369008000,3.124,3.37,3.124,3.37,63800
2013-05-21,1369094400,3.37,3.518,3.37,3.469,43400
2013-05-22,1369180800,3.518,3.518,3.271,3.42,9700
2013-05-23,1369267200,3.32,3.42,3.221,3.221,39500
2013-05-24,1369353600,3.221,3.37,3.221,3.37,18100
2013-05-27,1369612800,3.32,3.37,3.271,3.271,15000
2013-05-28,1369699200,3.271,3.271,3.221,3.221,14800
2013-05-29,1369785600,3.172,3.221,3.172,3.221,32600
2013-05-30,1369872000,3.172,3.271,3.124,3.271,21900
2013-05-31,1369958400,3.271,3.32,3.221,3.32,21600
2013-06-03,1370217600,3.221,3.37,3.221,3.37,28800
2013-06-04,1370304000,3.42,3.42,3.271,3.32,65100
2013-06-05,1370390400,3.32,3.567,3.32,3.567,231400
2013-06-06,1370476800,3.915,3.915,3.915,3.915,20600
2013-06-07,1370563200,4.262,4.262,3.915,4.014,69000
2013-06-10,1370822400,3.667,3.817,3.618,3.618,97000
2013-06-11,1370908800,3.618,3.965,3.618,3.817,80400
2013-06-12,1370995200,3.767,3.767,3.567,3.618,29600
2013-06-13,1371081600,3.618,3.716,3.567,3.716,12500
2013-06-14,1371168000,3.618,3.716,3.567,3.716,13200
2013-06-17,1371427200,3.469,3.567,3.42,3.42,28100
2013-06-18,1371513600,3.42,3.518,3.37,3.469,21700
2013-06-19,1371600000,3.518,3.518,3.42,3.469,10200
2013-06-20,1371686400,3.518,3.518,3.469,3.469,1800
2013-06-21,1371772800,3.469,3.469,3.37,3.469,12300
2013-06-24,1372032000,3.469,3.469,3.37,3.42,13200
2013-06-25,1372118400,3.469,3.469,3.271,3.42,30000
2013-06-26,1372204800,3.37,3.42,3.37,3.42,4100
2013-06-27,1372291200,3.37,3.42,3.32,3.42,16400
2013-06-28,1372377600,3.42,3.667,3.42,3.567,34100
2013-07-01,1372636800,3.469,3.518,3.469,3.518,9300
2013-07-02,1372723200,3.518,3.567,3.469,3.518,10800
2013-07-03,1372809600,3.518,3.518,3.37,3.37,22400
2013-07-04,1372896000,3.37,3.518,3.37,3.518,15700
2013-07-05,1372982400,3.667,3.866,3.42,3.518,2800
2013-07-08,1373241600,3.518,3.618,3.469,3.518,15100
2013-07-09,1373328000,3.42,3.518,3.42,3.518,23600
2013-07-10,1373414400,3.469,3.518,3.469,3.518,4200
2013-07-11,1373500800,3.42,3.469,3.42,3.469,7500
2013-07-12,1373587200,3.469,3.518,3.469,3.518,12700
2013-07-15,1373846400,3.42,3.469,3.42,3.469,2500
2013-07-16,1373932800,3.469,3.469,3.37,3.37,25000
2013-07-17,1374019200,3.37,3.37,3.37,3.37,10800
2013-07-18,1374105600,3.37,3.42,3.37,3.42,10200
2013-07-19,1374192000,3.32,3.42,3.32,3.42,1300
2013-07-22,1374451200,3.37,3.42,3.37,3.42,1000
2013-07-23,1374537600,3.37,3.37,3.37,3.37,1100
2013-07-24,1374624000,3.32,3.32,3.32,3.32,3900
2013-07-25,1374710400,3.469,3.469,3.469,3.469,100
2013-07-26,1374796800,3.221,3.37,3.221,3.37,900
2013-07-29,1375056000,3.271,3.32,3.271,3.271,1800
2013-07-30,1375142400,3.567,3.567,3.567,3.567,151
2013-07-31,1375228800,3.567,3.567,3.567,3.567,0
2013-08-01,1375315200,3.221,3.32,3.221,3.32,22400
2013-08-02,1375401600,3.37,3.37,3.37,3.37,1000
2013-08-05,1375660800,3.37,3.37,3.37,3.37,1000
2013-08-06,1375747200,3.37,3.37,3.37,3.37,500
2013-08-07,1375833600,3.221,3.32,3.124,3.32,10600
2013-08-08,1375920000,3.32,3.32,3.32,3.32,0
2013-08-09,1376006400,3.469,3.469,3.32,3.32,14300
2013-08-12,1376265600,3.32,3.32,3.32,3.32,0
2013-08-13,1376352000,3.32,3.32,3.32,3.32,10000
2013-08-14,1376438400,3.469,3.469,3.271,3.42,17500
2013-08-15,1376524800,3.32,3.42,3.32,3.42,3200
2013-08-16,1376611200,3.42,3.42,3.42,3.42,52000
2013-08-19,1376870400,3.469,3.567,3.42,3.42,18200
2013-08-20,1376956800,3.42,3.469,3.42,3.469,12300
2013-08-21,1377043200,3.469,3.469,3.42,3.42,19500
2013-08-22,1377129600,3.37,3.42,3.37,3.42,6000
2013-08-23,1377216000,3.42,3.42,3.42,3.42,0
2013-08-26,1377475200,3.42,3.42,3.42,3.42,0
2013-08-27,1377561600,3.42,3.42,3.37,3.42,7100
2013-08-28,1377648000,3.271,3.32,3.124,3.32,58000
2013-08-29,1377734400,3.221,3.32,3.221,3.32,1100
2013-08-30,1377820800,3.32,3.32,3.32,3.32,0
2013-09-03,1378166400,3.124,3.271,3.124,3.271,9800
2013-09-04,1378252800,3.124,3.221,3.124,3.124,3700
2013-09-05,1378339200,3.221,3.221,3.221,3.221,2300
2013-09-06,1378425600,3.124,3.221,3.124,3.221,12000
2013-09-09,1378684800,3.221,3.221,3.221,3.221,0
2013-09-10,1378771200,3.072,3.172,3.072,3.172,11800
2013-09-11,1378857600,3.221,3.469,3.072,3.221,2100
2013-09-12,1378944000,3.172,3.221,3.124,3.221,5900
2013-09-13,1379030400,3.221,3.221,3.221,3.221,200
2013-09-16,1379289600,3.124,3.172,3.124,3.124,10100
2013-09-17,1379376000,3.072,3.124,3.072,3.124,8600
2013-09-18,1379462400,3.072,3.072,3.072,3.072,2000
2013-09-19,1379548800,3.221,3.221,3.221,3.221,100
2013-09-20,1379635200,3.221,3.221,3.221,3.221,0
2013-09-23,1379894400,3.124,3.172,3.124,3.172,6300
2013-09-24,1379980800,3.172,3.221,3.124,3.124,12800
2013-09-25,1380067200,3.124,3.221,3.124,3.221,34000
2013-09-26,1380153600,3.221,3.221,3.221,3.221,10000
2013-09-27,1380240000,3.221,3.221,3.221,3.221,8000
2013-09-30,1380499200,3.221,3.271,3.221,3.271,5600
2013-10-01,1380585600,3.221,3.271,3.221,3.271,6100
2013-10-02,1380672000,3.271,3.271,3.221,3.221,8300
2013-10-03,1380758400,3.221,3.271,3.221,3.271,1000
2013-10-04,1380844800,3.32,3.32,3.221,3.221,5100
2013-10-07,1381104000,3.42,3.42,3.42,3.42,100
2013-10-08,1381190400,3.221,3.37,3.221,3.37,7600
2013-10-09,1381276800,3.271,3.32,3.271,3.32,4100
2013-10-10,1381363200,3.271,3.32,3.271,3.271,18200
2013-10-11,1381449600,3.271,3.32,3.271,3.32,3000
2013-10-14,1381708800,3.271,3.32,3.271,3.32,2400
2013-10-15,1381795200,3.271,3.271,3.271,3.271,14100
2013-10-16,1381881600,3.37,3.37,3.271,3.32,10600
2013-10-17,1381968000,3.271,3.271,3.271,3.271,10000
2013-10-18,1382054400,3.221,3.32,3.221,3.32,4700
2013-10-21,1382313600,3.271,3.469,3.271,3.469,27800
2013-10-22,1382400000,3.37,3.37,3.37,3.37,800
2013-10-23,1382486400,3.37,3.42,3.37,3.42,9400
2013-10-24,1382572800,3.37,3.37,3.32,3.32,5000
2013-10-25,1382659200,3.32,3.32,3.32,3.32,1000
2013-10-28,1382918400,3.32,3.32,3.271,3.32,15800
2013-10-29,1383004800,3.32,3.32,3.221,3.32,25500
2013-10-30,1383091200,3.271,3.271,3.271,3.271,6900
2013-10-31,1383177600,3.271,3.271,3.271,3.271,4000
2013-11-01,1383264000,3.271,3.32,3.221,3.32,13100
2013-11-04,1383523200,3.271,3.37,3.271,3.37,12700
2013-11-05,1383609600,3.42,3.42,3.42,3.42,100
2013-11-06,1383696000,3.32,3.37,3.32,3.37,4600
2013-11-07,1383782400,3.32,3.37,3.32,3.37,18900
2013-11-08,1383868800,3.37,3.42,3.37,3.37,30100
2013-11-11,1384128000,3.37,3.42,3.37,3.37,29300
2013-11-12,1384214400,3.42,3.618,3.42,3.469,107000
2013-11-13,1384300800,3.567,3.567,3.469,3.567,56500
2013-11-14,1384387200,3.518,3.518,3.469,3.518,10600
2013-11-15,1384473600,3.518,3.618,3.518,3.618,26600
2013-11-18,1384732800,3.618,3.667,3.518,3.667,31400
2013-11-19,1384819200,3.618,3.618,3.618,3.618,20500
2013-11-20,1384905600,3.618,3.667,3.567,3.667,18800
